Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
729,Exit long,2024-11-07 04:51,Exit,2664.36,3.73,9936.21645,1.81,0.02,1.87,0.02,-0.35,0.00,-35.46,-0.35
729,Entry long,2024-11-07 04:50,Long,2663.865,3.73,9936.21645,1.81,0.02,1.87,0.02,-0.35,0.00,-35.46,-0.35
730,Exit long,2024-11-07 05:09,Exit,2662.525,3.74,9962.5559,-4.75,-0.05,0.49,0.00,-9.52,-0.10,-40.21,-0.40
730,Entry long,2024-11-07 04:52,Long,2663.785,3.74,9962.5559,-4.75,-0.05,0.49,0.00,-9.52,-0.10,-40.21,-0.40
731,Exit long,2024-11-07 05:27,Exit,2663.43,3.73,9934.3701,0.19,0.00,0.6,0.01,-3.38,-0.03,-40.02,-0.40
731,Entry long,2024-11-07 05:22,Long,2663.37,3.73,9934.3701,0.19,0.00,0.6,0.01,-3.38,-0.03,-40.02,-0.40
732,Exit long,2024-11-07 05:35,Exit,2663.855,3.73,9933.8106,2.33,0.02,2.35,0.02,-0.19,0.00,-37.69,-0.38
732,Entry long,2024-11-07 05:33,Long,2663.22,3.73,9933.8106,2.33,0.02,2.35,0.02,-0.19,0.00,-37.69,-0.38
733,Exit long,2024-11-07 05:46,Exit,2663.01,3.74,9961.7705,-2.15,-0.02,0.64,0.01,-6.45,-0.06,-39.84,-0.40
733,Entry long,2024-11-07 05:37,Long,2663.575,3.74,9961.7705,-2.15,-0.02,0.64,0.01,-6.45,-0.06,-39.84,-0.40
734,Exit long,2024-11-07 05:57,Exit,2662.315,3.74,9957.7687,-0.75,-0.01,0.15,0.00,-5.54,-0.06,-40.59,-0.41
734,Entry long,2024-11-07 05:51,Long,2662.505,3.74,9957.7687,-0.75,-0.01,0.15,0.00,-5.54,-0.06,-40.59,-0.41
735,Exit long,2024-11-07 06:10,Exit,2663.41,3.73,9933.49355,0.99,0.01,1.72,0.02,-1.53,-0.02,-39.6,-0.40
735,Entry long,2024-11-07 06:06,Long,2663.135,3.73,9933.49355,0.99,0.01,1.72,0.02,-1.53,-0.02,-39.6,-0.40
736,Exit long,2024-11-07 06:14,Exit,2663.415,3.74,9960.1062,1.03,0.01,1.29,0.01,-1.01,-0.01,-38.57,-0.39
736,Entry long,2024-11-07 06:12,Long,2663.13,3.74,9960.1062,1.03,0.01,1.29,0.01,-1.01,-0.01,-38.57,-0.39
737,Exit long,2024-11-07 06:18,Exit,2662.96,3.74,9956.1605,3.27,0.03,3.48,0.03,-0.26,0.00,-35.3,-0.35
737,Entry long,2024-11-07 06:15,Long,2662.075,3.74,9956.1605,3.27,0.03,3.48,0.03,-0.26,0.00,-35.3,-0.35
738,Exit long,2024-11-07 06:23,Exit,2663.11,3.74,9958.0866,1.91,0.02,2.34,0.02,-3.78,-0.04,-33.39,-0.33
738,Entry long,2024-11-07 06:19,Long,2662.59,3.74,9958.0866,1.91,0.02,2.34,0.02,-3.78,-0.04,-33.39,-0.33
739,Exit long,2024-11-07 06:33,Exit,2662.605,3.74,9956.8337,1.27,0.01,1.93,0.02,-6,-0.06,-32.12,-0.32
739,Entry long,2024-11-07 06:25,Long,2662.255,3.74,9956.8337,1.27,0.01,1.93,0.02,-6,-0.06,-32.12,-0.32
740,Exit long,2024-11-07 08:48,Exit,2656.845,3.75,9966.31875,-3.19,-0.03,0.39,0.00,-7.46,-0.07,-35.31,-0.35
740,Entry long,2024-11-07 08:36,Long,2657.685,3.75,9966.31875,-3.19,-0.03,0.39,0.00,-7.46,-0.07,-35.31,-0.35
741,Exit long,2024-11-07 09:02,Exit,2657.92,3.75,9961.9125,5.25,0.05,6.09,0.06,-2.47,-0.02,-30.06,-0.30
741,Entry long,2024-11-07 08:58,Long,2656.51,3.75,9961.9125,5.25,0.05,6.09,0.06,-2.47,-0.02,-30.06,-0.30
742,Exit long,2024-11-07 09:16,Exit,2659.86,3.74,9946.53,1.31,0.01,1.38,0.01,-0.99,-0.01,-28.75,-0.29
742,Entry long,2024-11-07 09:15,Long,2659.5,3.74,9946.53,1.31,0.01,1.38,0.01,-0.99,-0.01,-28.75,-0.29
743,Exit long,2024-11-07 09:19,Exit,2660.14,3.74,9947.2406,1.65,0.02,1.78,0.02,-0.82,-0.01,-27.1,-0.27
743,Entry long,2024-11-07 09:18,Long,2659.69,3.74,9947.2406,1.65,0.02,1.78,0.02,-0.82,-0.01,-27.1,-0.27
744,Exit long,2024-11-07 09:25,Exit,2660.055,3.74,9946.343,2.23,0.02,2.41,0.02,-0.88,-0.01,-24.88,-0.25
744,Entry long,2024-11-07 09:21,Long,2659.45,3.74,9946.343,2.23,0.02,2.41,0.02,-0.88,-0.01,-24.88,-0.25
745,Exit long,2024-11-07 09:43,Exit,2658.74,3.75,9972.2625,-2.02,-0.02,1.58,0.02,-10.35,-0.10,-26.9,-0.27
745,Entry long,2024-11-07 09:30,Long,2659.27,3.75,9972.2625,-2.02,-0.02,1.58,0.02,-10.35,-0.10,-26.9,-0.27
746,Exit long,2024-11-07 10:06,Exit,2657.925,3.75,9967.81875,-0.64,-0.01,0.99,0.01,-4.29,-0.04,-27.54,-0.28
746,Entry long,2024-11-07 09:50,Long,2658.085,3.75,9967.81875,-0.64,-0.01,0.99,0.01,-4.29,-0.04,-27.54,-0.28
747,Exit long,2024-11-07 10:21,Exit,2655.72,3.75,9965.475,-6.56,-0.07,0,0.00,-11.89,-0.12,-34.1,-0.34
747,Entry long,2024-11-07 10:11,Long,2657.46,3.75,9965.475,-6.56,-0.07,0,0.00,-11.89,-0.12,-34.1,-0.34
748,Exit long,2024-11-07 10:49,Exit,2659.44,3.74,9943.8559,2.41,0.02,3.09,0.03,-0.28,0.00,-31.69,-0.32
748,Entry long,2024-11-07 10:48,Long,2658.785,3.74,9943.8559,2.41,0.02,3.09,0.03,-0.28,0.00,-31.69,-0.32
749,Exit long,2024-11-07 11:01,Exit,2658.83,3.74,9941.855,2.13,0.02,3.31,0.03,-1.83,-0.02,-29.56,-0.30
749,Entry long,2024-11-07 10:52,Long,2658.25,3.74,9941.855,2.13,0.02,3.31,0.03,-1.83,-0.02,-29.56,-0.30
750,Exit long,2024-11-07 11:09,Exit,2658.385,3.75,9967.29375,1.61,0.02,2.42,0.02,-3.09,-0.03,-27.95,-0.28
750,Entry long,2024-11-07 11:03,Long,2657.945,3.75,9967.29375,1.61,0.02,2.42,0.02,-3.09,-0.03,-27.95,-0.28
751,Exit long,2024-11-07 11:12,Exit,2658.24,3.75,9967.44375,0.92,0.01,1.31,0.01,-0.54,-0.01,-27.03,-0.27
751,Entry long,2024-11-07 11:10,Long,2657.985,3.75,9967.44375,0.92,0.01,1.31,0.01,-0.54,-0.01,-27.03,-0.27
752,Exit long,2024-11-07 11:18,Exit,2657.865,3.75,9966.58125,0.38,0.00,1.8,0.02,-3.39,-0.03,-26.65,-0.27
752,Entry long,2024-11-07 11:14,Long,2657.755,3.75,9966.58125,0.38,0.00,1.8,0.02,-3.39,-0.03,-26.65,-0.27
753,Exit long,2024-11-07 11:29,Exit,2660.02,3.74,9946.9601,1.48,0.01,1.55,0.02,-0.73,-0.01,-25.18,-0.25
753,Entry long,2024-11-07 11:28,Long,2659.615,3.74,9946.9601,1.48,0.01,1.55,0.02,-0.73,-0.01,-25.18,-0.25
754,Exit long,2024-11-07 11:46,Exit,2656.34,3.75,9972.3,-11.06,-0.11,0.94,0.01,-24.07,-0.24,-36.24,-0.36
754,Entry long,2024-11-07 11:30,Long,2659.28,3.75,9972.3,-11.06,-0.11,0.94,0.01,-24.07,-0.24,-36.24,-0.36
755,Exit long,2024-11-07 13:02,Exit,2665.79,3.73,9939.79725,3.56,0.04,3.58,0.04,-1.92,-0.02,-32.68,-0.33
755,Entry long,2024-11-07 13:00,Long,2664.825,3.73,9939.79725,3.56,0.04,3.58,0.04,-1.92,-0.02,-32.68,-0.33
756,Exit long,2024-11-07 13:07,Exit,2666.275,3.74,9967.1748,4.66,0.05,4.84,0.05,-0.69,-0.01,-28.02,-0.28
756,Entry long,2024-11-07 13:06,Long,2665.02,3.74,9967.1748,4.66,0.05,4.84,0.05,-0.69,-0.01,-28.02,-0.28
757,Exit long,2024-11-07 13:19,Exit,2664.465,3.74,9967.0065,-1.94,-0.02,0.13,0.00,-5.4,-0.05,-29.96,-0.30
757,Entry long,2024-11-07 13:10,Long,2664.975,3.74,9967.0065,-1.94,-0.02,0.13,0.00,-5.4,-0.05,-29.96,-0.30
758,Exit long,2024-11-07 13:25,Exit,2664.53,3.74,9964.8934,0.41,0.00,0.56,0.01,-2.67,-0.03,-29.55,-0.30
758,Entry long,2024-11-07 13:23,Long,2664.41,3.74,9964.8934,0.41,0.00,0.56,0.01,-2.67,-0.03,-29.55,-0.30
759,Exit long,2024-11-07 13:39,Exit,2663.295,3.74,9962.6494,-1.96,-0.02,1.01,0.01,-7.37,-0.07,-31.52,-0.32
759,Entry long,2024-11-07 13:26,Long,2663.81,3.74,9962.6494,-1.96,-0.02,1.01,0.01,-7.37,-0.07,-31.52,-0.32
760,Exit long,2024-11-07 13:54,Exit,2665.675,3.73,9942.89315,0.04,0.00,2.42,0.02,-0.73,-0.01,-31.48,-0.31
760,Entry long,2024-11-07 13:53,Long,2665.655,3.73,9942.89315,0.04,0.00,2.42,0.02,-0.73,-0.01,-31.48,-0.31
761,Exit long,2024-11-07 14:13,Exit,2662.08,3.74,9966.5016,-10.36,-0.10,0.3,0.00,-15.05,-0.15,-41.84,-0.42
761,Entry long,2024-11-07 13:55,Long,2664.84,3.74,9966.5016,-10.36,-0.10,0.3,0.00,-15.05,-0.15,-41.84,-0.42
762,Exit long,2024-11-07 14:32,Exit,2658.825,3.74,9953.1685,-9.2,-0.09,0.95,0.01,-14.29,-0.14,-51.04,-0.51
762,Entry long,2024-11-07 14:15,Long,2661.275,3.74,9953.1685,-9.2,-0.09,0.95,0.01,-14.29,-0.14,-51.04,-0.51
763,Exit long,2024-11-07 14:49,Exit,2661.485,3.73,9924.1126,3.19,0.03,3.3,0.03,-5.18,-0.05,-47.85,-0.48
763,Entry long,2024-11-07 14:41,Long,2660.62,3.73,9924.1126,3.19,0.03,3.3,0.03,-5.18,-0.05,-47.85,-0.48
764,Exit long,2024-11-07 15:12,Exit,2664.115,3.73,9938.08145,-0.97,-0.01,2.31,0.02,-7.16,-0.07,-48.82,-0.49
764,Entry long,2024-11-07 15:03,Long,2664.365,3.73,9938.08145,-0.97,-0.01,2.31,0.02,-7.16,-0.07,-48.82,-0.49
765,Exit long,2024-11-07 15:24,Exit,2663.32,3.73,9933.3257,0.82,0.01,0.93,0.01,-5.58,-0.06,-48,-0.48
765,Entry long,2024-11-07 15:17,Long,2663.09,3.73,9933.3257,0.82,0.01,0.93,0.01,-5.58,-0.06,-48,-0.48
766,Exit long,2024-11-07 15:37,Exit,2661.645,3.73,9931.92695,-4.03,-0.04,1.85,0.02,-10.57,-0.11,-52.03,-0.52
766,Entry long,2024-11-07 15:28,Long,2662.715,3.73,9931.92695,-4.03,-0.04,1.85,0.02,-10.57,-0.11,-52.03,-0.52
767,Exit long,2024-11-07 16:02,Exit,2666.78,3.73,9946.13825,0.91,0.01,1.17,0.01,-5.58,-0.06,-51.11,-0.51
767,Entry long,2024-11-07 15:57,Long,2666.525,3.73,9946.13825,0.91,0.01,1.17,0.01,-5.58,-0.06,-51.11,-0.51
768,Exit long,2024-11-07 16:04,Exit,2666.31,3.73,9943.8443,1.45,0.01,3.08,0.03,-1.51,-0.02,-49.66,-0.50
768,Entry long,2024-11-07 16:03,Long,2665.91,3.73,9943.8443,1.45,0.01,3.08,0.03,-1.51,-0.02,-49.66,-0.50
769,Exit long,2024-11-07 16:19,Exit,2667.435,3.73,9945.5228,3.97,0.04,4.64,0.05,-1.51,-0.02,-45.69,-0.46
769,Entry long,2024-11-07 16:14,Long,2666.36,3.73,9945.5228,3.97,0.04,4.64,0.05,-1.51,-0.02,-45.69,-0.46
770,Exit long,2024-11-07 16:40,Exit,2665.31,3.73,9948.86115,-7.29,-0.07,0,0.00,-12.01,-0.12,-52.98,-0.53
770,Entry long,2024-11-07 16:28,Long,2667.255,3.73,9948.86115,-7.29,-0.07,0,0.00,-12.01,-0.12,-52.98,-0.53
771,Exit long,2024-11-07 16:44,Exit,2664.825,3.73,9939.7413,0.02,0.00,0.56,0.01,-2.63,-0.03,-52.96,-0.53
771,Entry long,2024-11-07 16:41,Long,2664.81,3.73,9939.7413,0.02,0.00,0.56,0.01,-2.63,-0.03,-52.96,-0.53
772,Exit long,2024-11-07 16:47,Exit,2664.755,3.73,9939.4056,0.09,0.00,1.06,0.01,-1.6,-0.02,-52.87,-0.53
772,Entry long,2024-11-07 16:45,Long,2664.72,3.73,9939.4056,0.09,0.00,1.06,0.01,-1.6,-0.02,-52.87,-0.53
773,Exit long,2024-11-07 16:53,Exit,2664.83,3.73,9938.5104,1.27,0.01,2.76,0.03,-1.32,-0.01,-51.6,-0.52
773,Entry long,2024-11-07 16:48,Long,2664.48,3.73,9938.5104,1.27,0.01,2.76,0.03,-1.32,-0.01,-51.6,-0.52
774,Exit long,2024-11-07 17:03,Exit,2665.945,3.73,9941.7555,2.18,0.02,2.26,0.02,-1.6,-0.02,-49.42,-0.49
774,Entry long,2024-11-07 17:00,Long,2665.35,3.73,9941.7555,2.18,0.02,2.26,0.02,-1.6,-0.02,-49.42,-0.49
775,Exit long,2024-11-07 17:08,Exit,2666.21,3.73,9942.18445,2.74,0.03,3.67,0.04,-1.08,-0.01,-46.68,-0.47
775,Entry long,2024-11-07 17:06,Long,2665.465,3.73,9942.18445,2.74,0.03,3.67,0.04,-1.08,-0.01,-46.68,-0.47
776,Exit long,2024-11-07 17:23,Exit,2665.52,3.73,9942.8745,-0.52,-0.01,0.26,0.00,-6.4,-0.06,-47.2,-0.47
776,Entry long,2024-11-07 17:15,Long,2665.65,3.73,9942.8745,-0.52,-0.01,0.26,0.00,-6.4,-0.06,-47.2,-0.47
777,Exit long,2024-11-07 17:34,Exit,2666.49,3.73,9941.2706,4.7,0.05,5.76,0.06,-1.31,-0.01,-42.5,-0.42
777,Entry long,2024-11-07 17:32,Long,2665.22,3.73,9941.2706,4.7,0.05,5.76,0.06,-1.31,-0.01,-42.5,-0.42
778,Exit long,2024-11-07 17:45,Exit,2665.865,3.73,9945.46685,-1.83,-0.02,2.18,0.02,-7.18,-0.07,-44.33,-0.44
778,Entry long,2024-11-07 17:37,Long,2666.345,3.73,9945.46685,-1.83,-0.02,2.18,0.02,-7.18,-0.07,-44.33,-0.44
779,Exit long,2024-11-07 17:47,Exit,2666.225,3.73,9940.7857,4.2,0.04,4.98,0.05,-0.54,-0.01,-40.13,-0.40
779,Entry long,2024-11-07 17:46,Long,2665.09,3.73,9940.7857,4.2,0.04,4.98,0.05,-0.54,-0.01,-40.13,-0.40
780,Exit long,2024-11-07 18:03,Exit,2667.535,3.73,9948.0219,1.85,0.02,2.39,0.02,-1.79,-0.02,-38.28,-0.38
780,Entry long,2024-11-07 17:58,Long,2667.03,3.73,9948.0219,1.85,0.02,2.39,0.02,-1.79,-0.02,-38.28,-0.38
781,Exit long,2024-11-07 18:05,Exit,2668.01,3.73,9949.8123,1.83,0.02,2.16,0.02,-0.45,0.00,-36.46,-0.36
781,Entry long,2024-11-07 18:04,Long,2667.51,3.73,9949.8123,1.83,0.02,2.16,0.02,-0.45,0.00,-36.46,-0.36
782,Exit long,2024-11-07 18:50,Exit,2677.485,3.72,9956.8962,3.31,0.03,3.35,0.03,-6.19,-0.06,-33.14,-0.33
782,Entry long,2024-11-07 18:47,Long,2676.585,3.72,9956.8962,3.31,0.03,3.35,0.03,-6.19,-0.06,-33.14,-0.33
783,Exit long,2024-11-07 19:05,Exit,2681.92,3.71,9942.6887,7.2,0.07,8.42,0.08,-6.84,-0.07,-25.95,-0.26
783,Entry long,2024-11-07 19:01,Long,2679.97,3.71,9942.6887,7.2,0.07,8.42,0.08,-6.84,-0.07,-25.95,-0.26
784,Exit long,2024-11-07 19:12,Exit,2681.935,3.72,9971.2368,5.52,0.06,5.65,0.06,-0.24,0.00,-20.42,-0.20
784,Entry long,2024-11-07 19:11,Long,2680.44,3.72,9971.2368,5.52,0.06,5.65,0.06,-0.24,0.00,-20.42,-0.20
785,Exit long,2024-11-07 19:14,Exit,2682.72,3.72,9977.0586,2.62,0.03,3.94,0.04,-2.75,-0.03,-17.8,-0.18
785,Entry long,2024-11-07 19:13,Long,2682.005,3.72,9977.0586,2.62,0.03,3.94,0.04,-2.75,-0.03,-17.8,-0.18
786,Exit long,2024-11-07 19:22,Exit,2683.585,3.72,9981.039,1.86,0.02,3.87,0.04,-0.73,-0.01,-15.94,-0.16
786,Entry long,2024-11-07 19:21,Long,2683.075,3.72,9981.039,1.86,0.02,3.87,0.04,-0.73,-0.01,-15.94,-0.16
787,Exit long,2024-11-07 19:32,Exit,2686.3,3.71,9957.7142,8.42,0.08,8.85,0.09,-0.48,0.00,-7.52,-0.08
787,Entry long,2024-11-07 19:31,Long,2684.02,3.71,9957.7142,8.42,0.08,8.85,0.09,-0.48,0.00,-7.52,-0.08
788,Exit long,2024-11-07 19:43,Exit,2684.26,3.72,9986.5632,-1.15,-0.01,0.24,0.00,-8.09,-0.08,-8.67,-0.09
788,Entry long,2024-11-07 19:36,Long,2684.56,3.72,9986.5632,-1.15,-0.01,0.24,0.00,-8.09,-0.08,-8.67,-0.09
789,Exit long,2024-11-07 19:46,Exit,2685.24,3.72,9982.9548,6.1,0.06,6.27,0.06,-2.92,-0.03,-2.57,-0.03
789,Entry long,2024-11-07 19:44,Long,2683.59,3.72,9982.9548,6.1,0.06,6.27,0.06,-2.92,-0.03,-2.57,-0.03
790,Exit long,2024-11-07 19:58,Exit,2688.845,3.71,9974.27935,1.3,0.01,2.21,0.02,-1.56,-0.02,-1.27,-0.01
790,Entry long,2024-11-07 19:57,Long,2688.485,3.71,9974.27935,1.3,0.01,2.21,0.02,-1.56,-0.02,-1.27,-0.01
791,Exit long,2024-11-07 20:02,Exit,2690.09,3.71,9974.8544,5.34,0.05,5.47,0.05,-1.37,-0.01,4.07,0.04
791,Entry long,2024-11-07 20:01,Long,2688.64,3.71,9974.8544,5.34,0.05,5.47,0.05,-1.37,-0.01,4.07,0.04
792,Exit long,2024-11-07 20:05,Exit,2690.48,3.71,9978.416,3.23,0.03,6.14,0.06,-0.74,-0.01,7.3,0.07
792,Entry long,2024-11-07 20:04,Long,2689.6,3.71,9978.416,3.23,0.03,6.14,0.06,-0.74,-0.01,7.3,0.07
793,Exit long,2024-11-07 20:10,Exit,2690.89,3.72,10004.0844,5.99,0.06,7.91,0.08,-4.15,-0.04,13.29,0.13
793,Entry long,2024-11-07 20:07,Long,2689.27,3.72,10004.0844,5.99,0.06,7.91,0.08,-4.15,-0.04,13.29,0.13
794,Exit long,2024-11-07 20:15,Exit,2690.965,3.72,10008.7902,1.56,0.02,1.58,0.02,-1.17,-0.01,14.85,0.15
794,Entry long,2024-11-07 20:14,Long,2690.535,3.72,10008.7902,1.56,0.02,1.58,0.02,-1.17,-0.01,14.85,0.15
795,Exit long,2024-11-07 20:17,Exit,2691.2,3.72,10006.4466,4.78,0.05,5.38,0.05,-0.19,0.00,19.63,0.20
795,Entry long,2024-11-07 20:16,Long,2689.905,3.72,10006.4466,4.78,0.05,5.38,0.05,-0.19,0.00,19.63,0.20
796,Exit long,2024-11-07 20:19,Exit,2691.425,3.72,10010.0736,1.99,0.02,2.57,0.03,-0.17,0.00,21.62,0.22
796,Entry long,2024-11-07 20:18,Long,2690.88,3.72,10010.0736,1.99,0.02,2.57,0.03,-0.17,0.00,21.62,0.22
797,Exit long,2024-11-07 20:32,Exit,2692.79,3.72,10014.4074,2.73,0.03,4.05,0.04,-2.51,-0.03,24.35,0.24
797,Entry long,2024-11-07 20:28,Long,2692.045,3.72,10014.4074,2.73,0.03,4.05,0.04,-2.51,-0.03,24.35,0.24
798,Exit long,2024-11-07 20:36,Exit,2692.435,3.72,10009.8318,5.99,0.06,6.53,0.07,-2.44,-0.02,30.34,0.30
798,Entry long,2024-11-07 20:33,Long,2690.815,3.72,10009.8318,5.99,0.06,6.53,0.07,-2.44,-0.02,30.34,0.30
799,Exit long,2024-11-07 20:49,Exit,2696.525,3.72,10026.3486,4.69,0.05,4.72,0.05,-5.9,-0.06,35.03,0.35
799,Entry long,2024-11-07 20:46,Long,2695.255,3.72,10026.3486,4.69,0.05,4.72,0.05,-5.9,-0.06,35.03,0.35
800,Exit long,2024-11-07 21:14,Exit,2697.625,3.71,10012.93755,-4.79,-0.05,0.02,0.00,-12.65,-0.13,30.24,0.30
800,Entry long,2024-11-07 21:05,Long,2698.905,3.71,10012.93755,-4.79,-0.05,0.02,0.00,-12.65,-0.13,30.24,0.30
801,Exit long,2024-11-07 21:21,Exit,2697.485,3.71,10006.92735,0.7,0.01,1.13,0.01,-4.77,-0.05,30.95,0.31
801,Entry long,2024-11-07 21:18,Long,2697.285,3.71,10006.92735,0.7,0.01,1.13,0.01,-4.77,-0.05,30.95,0.31
802,Exit long,2024-11-07 21:23,Exit,2697.905,3.71,10005.55465,3.64,0.04,4.53,0.05,-0.02,0.00,34.59,0.35
802,Entry long,2024-11-07 21:22,Long,2696.915,3.71,10005.55465,3.64,0.04,4.53,0.05,-0.02,0.00,34.59,0.35
803,Exit long,2024-11-07 21:26,Exit,2697.89,3.72,10034.0304,2.08,0.02,2.64,0.03,-2.66,-0.03,36.67,0.37
803,Entry long,2024-11-07 21:25,Long,2697.32,3.72,10034.0304,2.08,0.02,2.64,0.03,-2.66,-0.03,36.67,0.37
804,Exit long,2024-11-07 21:43,Exit,2697.23,3.72,10033.1562,0.5,0.01,2.31,0.02,-6.31,-0.06,37.17,0.37
804,Entry long,2024-11-07 21:34,Long,2697.085,3.72,10033.1562,0.5,0.01,2.31,0.02,-6.31,-0.06,37.17,0.37
805,Exit long,2024-11-07 21:45,Exit,2697.095,3.72,10031.6682,1.49,0.01,2.9,0.03,-1.1,-0.01,38.66,0.39
805,Entry long,2024-11-07 21:44,Long,2696.685,3.72,10031.6682,1.49,0.01,2.9,0.03,-1.1,-0.01,38.66,0.39
806,Exit long,2024-11-07 22:01,Exit,2692.695,3.72,10028.6178,-11.83,-0.12,2.34,0.02,-19.25,-0.19,26.83,0.27
806,Entry long,2024-11-07 21:46,Long,2695.865,3.72,10028.6178,-11.83,-0.12,2.34,0.02,-19.25,-0.19,26.83,0.27
807,Exit long,2024-11-07 22:24,Exit,2695.245,3.71,10001.0099,-1.69,-0.02,0.35,0.00,-7.87,-0.08,25.14,0.25
807,Entry long,2024-11-07 22:16,Long,2695.69,3.71,10001.0099,-1.69,-0.02,0.35,0.00,-7.87,-0.08,25.14,0.25
808,Exit long,2024-11-07 22:26,Exit,2695.12,3.72,10023.633,2.18,0.02,2.19,0.02,-2.51,-0.03,27.32,0.27
808,Entry long,2024-11-07 22:25,Long,2694.525,3.72,10023.633,2.18,0.02,2.19,0.02,-2.51,-0.03,27.32,0.27
809,Exit long,2024-11-07 22:36,Exit,2695.615,3.72,10027.2414,0.41,0.00,2.27,0.02,-4.37,-0.04,27.73,0.28
809,Entry long,2024-11-07 22:34,Long,2695.495,3.72,10027.2414,0.41,0.00,2.27,0.02,-4.37,-0.04,27.73,0.28
810,Exit long,2024-11-07 22:50,Exit,2698.04,3.71,10009.1348,0.56,0.01,1.32,0.01,-0.24,0.00,28.28,0.28
810,Entry long,2024-11-07 22:49,Long,2697.88,3.71,10009.1348,0.56,0.01,1.32,0.01,-0.24,0.00,28.28,0.28
811,Exit long,2024-11-07 22:59,Exit,2699.37,3.71,10012.71495,1.91,0.02,2.04,0.02,-0.24,0.00,30.19,0.30
811,Entry long,2024-11-07 22:58,Long,2698.845,3.71,10012.71495,1.91,0.02,2.04,0.02,-0.24,0.00,30.19,0.30
812,Exit long,2024-11-07 23:08,Exit,2699.275,3.71,10011.3237,2.95,0.03,3.71,0.04,-0.82,-0.01,33.14,0.33
812,Entry long,2024-11-07 23:05,Long,2698.47,3.71,10011.3237,2.95,0.03,3.71,0.04,-0.82,-0.01,33.14,0.33
813,Exit long,2024-11-07 23:11,Exit,2699.27,3.71,10012.86335,1.39,0.01,1.95,0.02,-0.95,-0.01,34.53,0.35
813,Entry long,2024-11-07 23:10,Long,2698.885,3.71,10012.86335,1.39,0.01,1.95,0.02,-0.95,-0.01,34.53,0.35
814,Exit long,2024-11-07 23:21,Exit,2699.565,3.71,10013.1787,2.17,0.02,2.36,0.02,-2.78,-0.03,36.7,0.37
814,Entry long,2024-11-07 23:16,Long,2698.97,3.71,10013.1787,2.17,0.02,2.36,0.02,-2.78,-0.03,36.7,0.37
815,Exit long,2024-11-07 23:40,Exit,2698.625,3.71,10013.9578,-2.1,-0.02,1.26,0.01,-7.53,-0.08,34.61,0.35
815,Entry long,2024-11-07 23:27,Long,2699.18,3.71,10013.9578,-2.1,-0.02,1.26,0.01,-7.53,-0.08,34.61,0.35
816,Exit long,2024-11-07 23:51,Exit,2697.38,3.71,10007.9105,-0.67,-0.01,0.39,0.00,-5.82,-0.06,33.94,0.34
816,Entry long,2024-11-07 23:41,Long,2697.55,3.71,10007.9105,-0.67,-0.01,0.39,0.00,-5.82,-0.06,33.94,0.34
817,Exit long,2024-11-08 00:29,Exit,2694.82,3.71,10009.89535,-12.15,-0.12,2.11,0.02,-15.04,-0.15,21.79,0.22
817,Entry long,2024-11-08 00:06,Long,2698.085,3.71,10009.89535,-12.15,-0.12,2.11,0.02,-15.04,-0.15,21.79,0.22
818,Exit long,2024-11-08 01:58,Exit,2708.985,3.7,10020.118,3.09,0.03,3.24,0.03,-3.08,-0.03,24.88,0.25
818,Entry long,2024-11-08 01:56,Long,2708.14,3.7,10020.118,3.09,0.03,3.24,0.03,-3.08,-0.03,24.88,0.25
819,Exit long,2024-11-08 02:04,Exit,2708.535,3.7,10018.4345,3.11,0.03,3.87,0.04,-3.24,-0.03,27.99,0.28
819,Entry long,2024-11-08 01:59,Long,2707.685,3.7,10018.4345,3.11,0.03,3.87,0.04,-3.24,-0.03,27.99,0.28
820,Exit long,2024-11-08 02:21,Exit,2704.45,3.7,10017.9165,-11.49,-0.11,1.78,0.02,-20.24,-0.20,16.5,0.16
820,Entry long,2024-11-08 02:05,Long,2707.545,3.7,10017.9165,-11.49,-0.11,1.78,0.02,-20.24,-0.20,16.5,0.16
821,Exit long,2024-11-08 02:26,Exit,2704.35,3.7,10001.7105,4.35,0.04,5.12,0.05,-1.52,-0.02,20.85,0.21
821,Entry long,2024-11-08 02:24,Long,2703.165,3.7,10001.7105,4.35,0.04,5.12,0.05,-1.52,-0.02,20.85,0.21
822,Exit long,2024-11-08 02:32,Exit,2704.69,3.7,10005.4845,1.83,0.02,1.98,0.02,-0.13,0.00,22.68,0.23
822,Entry long,2024-11-08 02:31,Long,2704.185,3.7,10005.4845,1.83,0.02,1.98,0.02,-0.13,0.00,22.68,0.23
823,Exit long,2024-11-08 02:46,Exit,2705.92,3.7,10011.0345,0.83,0.01,0.91,0.01,-3.92,-0.04,23.51,0.24
823,Entry long,2024-11-08 02:42,Long,2705.685,3.7,10011.0345,0.83,0.01,0.91,0.01,-3.92,-0.04,23.51,0.24
824,Exit long,2024-11-08 03:01,Exit,2706.855,3.7,10012.2185,3.11,0.03,3.27,0.03,-0.76,-0.01,26.62,0.27
824,Entry long,2024-11-08 02:57,Long,2706.005,3.7,10012.2185,3.11,0.03,3.27,0.03,-0.76,-0.01,26.62,0.27
825,Exit long,2024-11-08 03:15,Exit,2708.1,3.7,10018.564,1.37,0.01,1.76,0.02,-0.41,0.00,27.99,0.28
