Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
20,Exit long,2024-10-23 12:38,Exit,2751.45,3.64,10011.1466,4.1,0.04,5.06,0.05,-0.07,0.00,18.37,0.18
20,Entry long,2024-10-23 12:37,Long,2750.315,3.64,10011.1466,4.1,0.04,5.06,0.05,-0.07,0.00,18.37,0.18
21,Exit long,2024-10-23 12:53,Exit,2752.54,3.64,10018.2264,0.98,0.01,1.02,0.01,-1.42,-0.01,19.35,0.19
21,Entry long,2024-10-23 12:51,Long,2752.26,3.64,10018.2264,0.98,0.01,1.02,0.01,-1.42,-0.01,19.35,0.19
22,Exit long,2024-10-23 12:59,Exit,2752.38,3.64,10018.8998,-0.27,0.00,0,0.00,-5.3,-0.05,19.08,0.19
22,Entry long,2024-10-23 12:55,Long,2752.445,3.64,10018.8998,-0.27,0.00,0,0.00,-5.3,-0.05,19.08,0.19
23,Exit long,2024-10-23 13:22,Exit,2755.205,3.63,9998.30865,3.05,0.03,3.25,0.03,-0.65,-0.01,22.13,0.22
23,Entry long,2024-10-23 13:16,Long,2754.355,3.63,9998.30865,3.05,0.03,3.25,0.03,-0.65,-0.01,22.13,0.22
24,Exit long,2024-10-23 13:26,Exit,2754.91,3.63,9998.7261,1.56,0.02,2.09,0.02,-0.69,-0.01,23.69,0.24
24,Entry long,2024-10-23 13:25,Long,2754.47,3.63,9998.7261,1.56,0.02,2.09,0.02,-0.69,-0.01,23.69,0.24
25,Exit long,2024-10-23 13:30,Exit,2755.005,3.63,9999.561,1.07,0.01,1.89,0.02,-0.22,0.00,24.76,0.25
25,Entry long,2024-10-23 13:29,Long,2754.7,3.63,9999.561,1.07,0.01,1.89,0.02,-0.22,0.00,24.76,0.25
26,Exit long,2024-10-23 13:42,Exit,2755.895,3.63,10001.5212,2.34,0.02,2.89,0.03,-1.87,-0.02,27.1,0.27
26,Entry long,2024-10-23 13:37,Long,2755.24,3.63,10001.5212,2.34,0.02,2.89,0.03,-1.87,-0.02,27.1,0.27
27,Exit long,2024-10-23 13:47,Exit,2755.605,3.63,10001.82975,0.98,0.01,1.14,0.01,-0.67,-0.01,28.08,0.28
27,Entry long,2024-10-23 13:46,Long,2755.325,3.63,10001.82975,0.98,0.01,1.14,0.01,-0.67,-0.01,28.08,0.28
28,Exit long,2024-10-23 13:58,Exit,2756.125,3.63,10003.6266,1.07,0.01,1.62,0.02,-1.94,-0.02,29.15,0.29
28,Entry long,2024-10-23 13:54,Long,2755.82,3.63,10003.6266,1.07,0.01,1.62,0.02,-1.94,-0.02,29.15,0.29
29,Exit long,2024-10-23 14:25,Exit,2756.43,3.63,10008.36375,-2.56,-0.03,0.02,0.00,-4.81,-0.05,26.59,0.27
29,Entry long,2024-10-23 14:16,Long,2757.125,3.63,10008.36375,-2.56,-0.03,0.02,0.00,-4.81,-0.05,26.59,0.27
30,Exit long,2024-10-23 14:53,Exit,2753.8,3.63,10006.18575,-9.93,-0.10,1.25,0.01,-16.5,-0.16,16.66,0.17
30,Entry long,2024-10-23 14:33,Long,2756.525,3.63,10006.18575,-9.93,-0.10,1.25,0.01,-16.5,-0.16,16.66,0.17
31,Exit long,2024-10-24 01:13,Exit,2717.2,3.68,9997.9344,1.32,0.01,1.45,0.01,-0.59,-0.01,17.99,0.18
31,Entry long,2024-10-24 01:12,Long,2716.83,3.68,9997.9344,1.32,0.01,1.45,0.01,-0.59,-0.01,17.99,0.18
32,Exit long,2024-10-24 01:19,Exit,2717.615,3.68,9999.94,0.85,0.01,2.52,0.03,-0.09,0.00,18.84,0.19
32,Entry long,2024-10-24 01:18,Long,2717.375,3.68,9999.94,0.85,0.01,2.52,0.03,-0.09,0.00,18.84,0.19
33,Exit long,2024-10-24 01:31,Exit,2716.655,3.68,10000.7864,-3.53,-0.04,0.37,0.00,-6.09,-0.06,15.3,0.15
33,Entry long,2024-10-24 01:22,Long,2717.605,3.68,10000.7864,-3.53,-0.04,0.37,0.00,-6.09,-0.06,15.3,0.15
34,Exit long,2024-10-24 01:54,Exit,2715.105,3.68,9995.7816,-4.23,-0.04,0.52,0.01,-5.35,-0.05,11.07,0.11
34,Entry long,2024-10-24 01:32,Long,2716.245,3.68,9995.7816,-4.23,-0.04,0.52,0.01,-5.35,-0.05,11.07,0.11
35,Exit long,2024-10-24 02:18,Exit,2715.73,3.68,9992.8928,0.96,0.01,1.67,0.02,-1.58,-0.02,12.03,0.12
35,Entry long,2024-10-24 02:12,Long,2715.46,3.68,9992.8928,0.96,0.01,1.67,0.02,-1.58,-0.02,12.03,0.12
36,Exit long,2024-10-24 03:35,Exit,2716.4,3.68,9994.512,1.8,0.02,1.88,0.02,-1.47,-0.01,13.83,0.14
36,Entry long,2024-10-24 02:27,Long,2715.9,3.68,9994.512,1.8,0.02,1.88,0.02,-1.47,-0.01,13.83,0.14
37,Exit long,2024-10-24 03:45,Exit,2716.725,3.68,9997.0512,0.46,0.00,0.48,0.00,-0.02,0.00,14.29,0.14
37,Entry long,2024-10-24 03:44,Long,2716.59,3.68,9997.0512,0.46,0.00,0.48,0.00,-0.02,0.00,14.29,0.14
38,Exit long,2024-10-24 03:48,Exit,2716.875,3.68,9997.3824,0.68,0.01,0.7,0.01,-0.26,0.00,14.97,0.15
38,Entry long,2024-10-24 03:47,Long,2716.68,3.68,9997.3824,0.68,0.01,0.7,0.01,-0.26,0.00,14.97,0.15
39,Exit long,2024-10-24 04:00,Exit,2717.825,3.68,10000.4,1.16,0.01,1.18,0.01,-0.35,0.00,16.13,0.16
39,Entry long,2024-10-24 03:59,Long,2717.5,3.68,10000.4,1.16,0.01,1.18,0.01,-0.35,0.00,16.13,0.16
40,Exit long,2024-10-24 04:02,Exit,2718.31,3.68,10001.0808,2.26,0.02,2.39,0.02,-0.04,0.00,18.39,0.18
40,Entry long,2024-10-24 04:01,Long,2717.685,3.68,10001.0808,2.26,0.02,2.39,0.02,-0.04,0.00,18.39,0.18
41,Exit long,2024-10-24 04:09,Exit,2717.89,3.68,10001.5776,0.22,0.00,0.24,0.00,-1.88,-0.02,18.61,0.19
41,Entry long,2024-10-24 04:03,Long,2717.82,3.68,10001.5776,0.22,0.00,0.24,0.00,-1.88,-0.02,18.61,0.19
42,Exit long,2024-10-24 04:15,Exit,2717.67,3.68,10000.8048,0.18,0.00,0.52,0.01,-1.32,-0.01,18.8,0.19
42,Entry long,2024-10-24 04:12,Long,2717.61,3.68,10000.8048,0.18,0.00,0.52,0.01,-1.32,-0.01,18.8,0.19
43,Exit long,2024-10-24 04:20,Exit,2717.93,3.68,10000.8784,1.07,0.01,1.09,0.01,-0.07,0.00,19.87,0.20
43,Entry long,2024-10-24 04:18,Long,2717.63,3.68,10000.8784,1.07,0.01,1.09,0.01,-0.07,0.00,19.87,0.20
44,Exit long,2024-10-24 04:28,Exit,2717.95,3.68,10002.24,-0.22,0.00,0.17,0.00,-1.05,-0.01,19.65,0.20
44,Entry long,2024-10-24 04:25,Long,2718,3.68,10002.24,-0.22,0.00,0.17,0.00,-1.05,-0.01,19.65,0.20
45,Exit long,2024-10-24 04:43,Exit,2719.635,3.68,10007.5392,0.68,0.01,0.81,0.01,-1.88,-0.02,20.33,0.20
45,Entry long,2024-10-24 04:39,Long,2719.44,3.68,10007.5392,0.68,0.01,0.81,0.01,-1.88,-0.02,20.33,0.20
46,Exit long,2024-10-24 04:55,Exit,2719.845,3.68,10007.8888,1.1,0.01,1.73,0.02,-2.54,-0.03,21.43,0.21
46,Entry long,2024-10-24 04:50,Long,2719.535,3.68,10007.8888,1.1,0.01,1.73,0.02,-2.54,-0.03,21.43,0.21
47,Exit long,2024-10-24 05:02,Exit,2719.935,3.68,10007.7968,1.53,0.02,1.55,0.02,-0.35,0.00,22.96,0.23
47,Entry long,2024-10-24 04:59,Long,2719.51,3.68,10007.7968,1.53,0.02,1.55,0.02,-0.35,0.00,22.96,0.23
48,Exit long,2024-10-24 05:15,Exit,2721.215,3.68,10011.9552,2.08,0.02,2.69,0.03,-0.4,0.00,25.04,0.25
48,Entry long,2024-10-24 05:12,Long,2720.64,3.68,10011.9552,2.08,0.02,2.69,0.03,-0.4,0.00,25.04,0.25
49,Exit long,2024-10-24 05:22,Exit,2721.255,3.68,10011.1456,3.04,0.03,3.35,0.03,-0.31,0.00,28.07,0.28
49,Entry long,2024-10-24 05:20,Long,2720.42,3.68,10011.1456,3.04,0.03,3.35,0.03,-0.31,0.00,28.07,0.28
50,Exit long,2024-10-24 05:25,Exit,2721.41,3.68,10012.7832,1.97,0.02,2.24,0.02,-0.4,0.00,30.04,0.30
50,Entry long,2024-10-24 05:23,Long,2720.865,3.68,10012.7832,1.97,0.02,2.24,0.02,-0.4,0.00,30.04,0.30
51,Exit long,2024-10-24 05:46,Exit,2718.825,3.68,10008.9008,-3.66,-0.04,2.32,0.02,-6.94,-0.07,26.38,0.26
51,Entry long,2024-10-24 05:31,Long,2719.81,3.68,10008.9008,-3.66,-0.04,2.32,0.02,-6.94,-0.07,26.38,0.26
52,Exit long,2024-10-24 05:50,Exit,2719.015,3.68,10003.8224,2.12,0.02,3.07,0.03,-0.99,-0.01,28.5,0.28
52,Entry long,2024-10-24 05:48,Long,2718.43,3.68,10003.8224,2.12,0.02,3.07,0.03,-0.99,-0.01,28.5,0.28
53,Exit long,2024-10-24 06:01,Exit,2720.415,3.68,10005.92,5.17,0.05,5.19,0.05,-0.75,-0.01,33.67,0.34
53,Entry long,2024-10-24 05:58,Long,2719,3.68,10005.92,5.17,0.05,5.19,0.05,-0.75,-0.01,33.67,0.34
54,Exit long,2024-10-24 06:22,Exit,2720.775,3.68,10011.8264,0.59,0.01,0.94,0.01,-6.13,-0.06,34.25,0.34
54,Entry long,2024-10-24 06:13,Long,2720.605,3.68,10011.8264,0.59,0.01,0.94,0.01,-6.13,-0.06,34.25,0.34
55,Exit long,2024-10-24 06:26,Exit,2720.97,3.68,10008.2384,4.89,0.05,5.23,0.05,-0.77,-0.01,39.15,0.39
55,Entry long,2024-10-24 06:24,Long,2719.63,3.68,10008.2384,4.89,0.05,5.23,0.05,-0.77,-0.01,39.15,0.39
56,Exit long,2024-10-24 06:32,Exit,2721.25,3.68,10012.2312,1.93,0.02,4.05,0.04,-1.49,-0.01,41.08,0.41
56,Entry long,2024-10-24 06:31,Long,2720.715,3.68,10012.2312,1.93,0.02,4.05,0.04,-1.49,-0.01,41.08,0.41
57,Exit long,2024-10-24 06:45,Exit,2723.135,3.68,10019.2784,1.82,0.02,2.43,0.02,-0.15,0.00,42.9,0.43
57,Entry long,2024-10-24 06:44,Long,2722.63,3.68,10019.2784,1.82,0.02,2.43,0.02,-0.15,0.00,42.9,0.43
58,Exit long,2024-10-24 06:48,Exit,2723.705,3.68,10017.1256,6.07,0.06,6.22,0.06,-0.68,-0.01,48.97,0.49
58,Entry long,2024-10-24 06:46,Long,2722.045,3.68,10017.1256,6.07,0.06,6.22,0.06,-0.68,-0.01,48.97,0.49
59,Exit long,2024-10-24 07:08,Exit,2726.45,3.68,10031.4224,1.88,0.02,1.95,0.02,-1.47,-0.01,50.85,0.51
59,Entry long,2024-10-24 07:06,Long,2725.93,3.68,10031.4224,1.88,0.02,1.95,0.02,-1.47,-0.01,50.85,0.51
60,Exit long,2024-10-24 07:13,Exit,2726,3.68,10030.5024,1.14,0.01,2.17,0.02,-4.51,-0.04,51.99,0.52
60,Entry long,2024-10-24 07:10,Long,2725.68,3.68,10030.5024,1.14,0.01,2.17,0.02,-4.51,-0.04,51.99,0.52
61,Exit long,2024-10-24 07:20,Exit,2725.02,3.68,10030.1528,-2.12,-0.02,1.03,0.01,-9.73,-0.10,49.88,0.50
61,Entry long,2024-10-24 07:14,Long,2725.585,3.68,10030.1528,-2.12,-0.02,1.03,0.01,-9.73,-0.10,49.88,0.50
62,Exit long,2024-10-24 07:30,Exit,2723.875,3.68,10024.3936,-0.57,-0.01,2.02,0.02,-6.48,-0.06,49.31,0.49
62,Entry long,2024-10-24 07:21,Long,2724.02,3.68,10024.3936,-0.57,-0.01,2.02,0.02,-6.48,-0.06,49.31,0.49
63,Exit long,2024-10-24 07:36,Exit,2723.36,3.69,10047.96225,1.2,0.01,2.29,0.02,-1.77,-0.02,50.51,0.51
63,Entry long,2024-10-24 07:32,Long,2723.025,3.69,10047.96225,1.2,0.01,2.29,0.02,-1.77,-0.02,50.51,0.51
64,Exit long,2024-10-24 07:39,Exit,2723.915,3.69,10048.40505,2.8,0.03,3.23,0.03,-1.11,-0.01,53.31,0.53
64,Entry long,2024-10-24 07:38,Long,2723.145,3.69,10048.40505,2.8,0.03,3.23,0.03,-1.11,-0.01,53.31,0.53
65,Exit long,2024-10-24 07:52,Exit,2722.225,3.69,10048.8294,-3.86,-0.04,2.44,0.02,-6.73,-0.07,49.45,0.49
65,Entry long,2024-10-24 07:41,Long,2723.26,3.69,10048.8294,-3.86,-0.04,2.44,0.02,-6.73,-0.07,49.45,0.49
66,Exit long,2024-10-24 07:57,Exit,2722.61,3.69,10043.90325,2.49,0.02,3.8,0.04,-1.14,-0.01,51.94,0.52
66,Entry long,2024-10-24 07:56,Long,2721.925,3.69,10043.90325,2.49,0.02,3.8,0.04,-1.14,-0.01,51.94,0.52
67,Exit long,2024-10-24 08:31,Exit,2723.855,3.69,10047.8331,3.15,0.03,3.3,0.03,-0.92,-0.01,55.1,0.55
67,Entry long,2024-10-24 08:26,Long,2722.99,3.69,10047.8331,3.15,0.03,3.3,0.03,-0.92,-0.01,55.1,0.55
68,Exit long,2024-10-24 08:33,Exit,2723.515,3.69,10049.14305,0.59,0.01,0.87,0.01,-2.84,-0.03,55.69,0.56
68,Entry long,2024-10-24 08:32,Long,2723.345,3.69,10049.14305,0.59,0.01,0.87,0.01,-2.84,-0.03,55.69,0.56
69,Exit long,2024-10-24 08:43,Exit,2722.93,3.69,10047.66705,-0.09,0.00,2.03,0.02,-3.76,-0.04,55.6,0.56
69,Entry long,2024-10-24 08:34,Long,2722.945,3.69,10047.66705,-0.09,0.00,2.03,0.02,-3.76,-0.04,55.6,0.56
